Flood,Aspect,CTI,Curvature,DEM,Distance_river,Distance_road,Landuse2005,Rainfall2005,Slope,SPI,TWI
No,0.09618,0.129328,0.685179,0.41003500000000004,0.187802,0.21531599999999998,0.25,0.404855,0.562156,0.000147,0.129328
No,0.048639,0.1495,0.702624,0.39855,0.182613,0.21019899999999997,0.25,0.404855,0.617062,0.000338,0.1495
No,0.222572,0.172845,0.702232,0.015726,0.065049,0.29234499999999997,0.0,0.149009,0.15352000000000002,1.7e-05,0.172845
No,0.199496,0.146775,0.7039479999999999,0.016437,0.06589400000000001,0.296109,0.0,0.149009,0.092075,0.0,0.146774
No,0.113133,0.17927300000000002,0.7001350000000001,0.013319999999999999,0.08369700000000001,0.29384,0.0,0.149009,0.089476,5e-06,0.17927300000000002
No,0.64698,0.20893299999999998,0.696616,0.012051000000000001,0.104466,0.279359,0.0,0.149009,0.06956,8e-06,0.20893299999999998
No,0.8100430000000001,0.186974,0.700584,0.014177,0.1083,0.267834,0.0,0.149009,0.037836,0.0,0.186974
No,0.639679,0.20285699999999998,0.693345,0.012492,0.10541400000000001,0.264756,0.0,0.149009,0.10578900000000001,1.7e-05,0.20285699999999998
No,0.570657,0.16025999999999999,0.697012,0.015091,0.09199299999999999,0.272704,0.0,0.149009,0.201174,2.2e-05,0.16025999999999999
No,0.48501700000000003,0.21808899999999998,0.692579,0.013306,0.079963,0.280165,0.0,0.149009,0.14991300000000002,5.6999999999999996e-05,0.21808899999999998
No,0.222572,0.172845,0.702232,0.015726,0.065049,0.29234499999999997,0.0,0.149009,0.15352000000000002,1.7e-05,0.172845
Yes,0.155417,0.21049600000000002,0.697988,0.007097,0.008956,0.005659,0.0,0.150589,0.022446999999999998,0.0,0.21049600000000002
Yes,0.5371130000000001,0.332575,0.6963600000000001,0.005657,0.089324,0.012903999999999999,0.5,0.133131,0.001491,0.0,0.332575
Yes,0.8481129999999999,0.40893,0.694945,0.0062380000000000005,0.024945,0.016205,0.5,0.150589,0.005739,6e-06,0.40893
Yes,0.598828,0.24977600000000003,0.7006359999999999,0.008567,0.0037189999999999996,0.008619,0.0,0.150589,0.009381,0.0,0.24977600000000003
Yes,0.476454,0.323347,0.6965779999999999,0.006252000000000001,0.071529,0.011816,0.5,0.133131,0.00366,0.0,0.323347
Yes,0.391491,0.342763,0.696347,0.005016,0.034283999999999995,0.016323,1.0,0.14517,0.004755,1e-06,0.342763
Yes,0.420441,0.449154,0.695778,0.004968,0.014874,0.00884,1.0,0.11456600000000002,0.003914,7.000000000000001e-06,0.449154
Yes,0.343238,0.35189899999999996,0.696348,0.005072999999999999,0.020837,0.012903999999999999,1.0,0.11456600000000002,0.004852,1e-06,0.35189899999999996
Yes,0.255105,0.36073,0.696249,0.0051530000000000005,0.028611,0.012031,1.0,0.11456600000000002,0.007176999999999999,3e-06,0.36073
No,0.436337,0.414228,0.690813,0.009878,0.031989,0.311293,0.0,0.182109,0.012875,3.6e-05,0.414228
Yes,0.24134699999999998,0.395154,0.69635,0.005204,0.096812,0.004081,0.25,0.19399999999999998,0.002227,1e-06,0.395154
Yes,0.817736,0.48716099999999996,0.696267,0.004757,0.004989,0.05184,0.5,0.19399999999999998,0.0012980000000000001,2e-06,0.48716099999999996
Yes,0.801092,0.261024,0.69605,0.004645000000000001,0.006856999999999999,0.033287,0.5,0.186854,0.007306999999999999,0.0,0.261024
Yes,0.8986379999999999,0.41454399999999997,0.696235,0.004519,0.0037189999999999996,0.02988,0.5,0.177798,0.000965,0.0,0.41454399999999997
Yes,0.42979399999999995,0.604582,0.696225,0.0045130000000000005,0.0,0.025833999999999996,0.5,0.152348,0.0005480000000000001,5e-06,0.604582
No,0.6794140000000001,0.126695,0.690483,0.11445899999999999,0.11994400000000001,0.310564,0.25,0.274061,0.656944,0.000233,0.126695
